tic,w_mv,w_eq,train_end,test_start,test_end
A,3.028188326890685e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AAPL,6.771519092935915e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ABBV,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ABNB,2.563621136409995e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ABT,3.0728631308976566e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ACGL,1.0113686797842284e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ACN,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ADI,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ADM,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ADSK,2.8127763231795747e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AEE,7.23919105914162e-17,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AEP,6.593858975528162e-18,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AES,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AFL,1.1599209506879237e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AIG,5.2489632674840304e-17,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AIZ,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AJG,9.745238182313468e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AKAM,8.971930463838808e-17,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ALB,2.918016840409734e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ALGN,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ALL,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ALLE,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AMAT,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AMCR,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AMD,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AME,1.9935086566082093e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AMGN,3.5787775258213084e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AMP,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AMZN,2.244274957234133e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ANET,3.5497014041185886e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ANSS,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AON,2.35510266928093e-17,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AOS,2.669137227020749e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
APA,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
APD,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
APH,1.3748717984276526e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
APO,3.843018922208288e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
APTV,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
ATO,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AVGO,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AVY,4.1212560024631936e-16,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AWK,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AXON,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
AXP,0.0,0.0022522522522522522,2024-09-30,2024-10-01,2024-10-31
