A,AAL,AAP,AAPL,ABBV,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APTV,ATO,ATVI,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBWI,BBY,BDX,BEN,BIIB,BKNG,BKR,BMY,BR,BRK.B,BRO,BSX,BWA,CAG,CARR,CAT,CB,CBRE,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CME,CMG,CMI,CMS,CNC,CNP,COF,COO,COST,CPB,CPRT,CRL,CRM,CSCO,CSX,CTAS,CTLT,CTRA,CTSH,CTVA,CTXS,CVS,CVX,CZR,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCK,DISH,DLTR,DOV,DOW,DPZ,DRI,DUK,DVA,DVN,DXC,DXCM,EA,ECL,EFX,EL,EMN,ENPH,EOG,EPAM,ES,ETN,ETR,ETSY,EVRG,EW,EXC,EXPD,EXPE,F,FANG,FAST,FCX,FDS,FDX,FE,FFIV,FIS,FITB,FMC,FOX,FTNT,FTV,GD,GILD,GIS,GL,GLW,GM,GNRC,GOOG,GPC,GPN,GRMN,GS,HAL,HAS,HBAN,HCA,HD,HIG,HII,HLT,HOLX,HON,HPE,HPQ,HRL,HSIC,HSY,HUM,HWM,IBM,ICE,IDXX,IEX,INCY,INTU,IP,IPG,IPGP,IQV,IR,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,K,KEY,KEYS,KHC,KLAC,KMB,KMI,KMX,KO,KR,L,LDOS,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUMN,LUV,LVS,LW,LYB,LYV,MA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MPWR,MRK,MRNA,MRO,MSCI,MSFT,MSI,MTB,MTCH,MTD,MU,NCLH,NDAQ,NFLX,NI,NKE,NLSN,NOC,NOW,NRG,NSC,NTAP,NUE,NVDA,NVR,NWL,NWS,NXPI,ODFL,OKE,OMC,ORCL,ORLY,OTIS,OXY,PAYC,PAYX,PBCT,PCAR,PEG,PENN,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PM,PNC,PNR,PNW,POOL,PPG,PPL,PRU,PSX,PTC,PVH,PWR,PYPL,QCOM,QRVO,RCL,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBUX,SCHW,SEDG,SEE,SHW,SJM,SLB,SNPS,SPGI,SRE,STE,STT,STX,STZ,SWKS,SYF,SYK,SYY,T,TDG,TDY,TECH,TEL,TFC,TFX,TGT,TJX,TMO,TMUS,TPR,TRMB,TROW,TRV,TSCO,TSLA,TT,TTWO,TWTR,TXN,TXT,TYL,UA,UAL,ULTA,UNH,UPS,URI,V,VFC,VLO,VMC,VRSK,VRSN,VRTX,VTRS,VZ,WAB,WBA,WDC,WEC,WHR,WM,WMB,WMT,WRB,WRK,WST,WYNN,XEL,XLNX,XOM,XRAY,XYL,YUM,ZBH,ZBRA,ZION,ZTS,Date
9.263837549554658e-17,5.647128003405425e-18,1.4265389458246677e-16,2.88357760029286e-17,0.0,0.0,2.0069236834275007e-17,1.8821288569756425e-17,4.2213755373204044e-17,0.0,1.6217822097063987e-17,0.0,0.0,2.7787164177545795e-17,0.0,6.69487742251736e-17,0.0,0.0,0.0,5.674544868887801e-17,0.0,6.775514759731534e-20,0.0,0.0,9.719936825223458e-17,2.426248029383588e-18,0.0,0.0,6.488498577573909e-18,0.0,2.080259948778917e-17,0.0,0.0,0.0,0.0,1.8998306318809157e-17,0.0,4.1342688398689104e-17,0.0,0.0,0.0,0.0,5.79818824991683e-17,2.641632900311301e-17,0.0,6.343803499742532e-17,4.874739785591157e-18,0.0,0.0,0.0,1.747558729863483e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4809445933165686e-17,0.0,0.0,0.0,5.354716891739195e-18,0.0,1.160913743023015e-17,6.040168688898798e-18,0.0,0.0,0.0,1.3333894361412437e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73996608948213e-17,0.0,4.432892294206725e-18,0.0,0.0,0.0,1.3685663013276604e-17,5.0146460003032827e-17,0.0,0.0,5.044220170156554e-18,1.665492753170697e-17,1.1193280465096268e-17,0.338177142123615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.957935930894047e-18,0.0,0.0,0.0,0.0,0.0,6.559054031521173e-18,0.0,1.6616877161901865e-17,1.8834572722640656e-17,1.9588790827635875e-18,0.0,0.0,0.0,5.636393424539585e-17,0.0,1.2831136634945495e-17,1.7668085497562428e-17,0.0,1.7901790367104628e-17,5.3173897601818225e-17,2.7888672073529685e-17,4.0012035680794455e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.003571165774766e-18,0.0,1.9323803431664305e-16,1.071563623653601e-16,0.0,0.0,0.0,0.0,8.018879311434581e-18,3.7140867060170216e-17,0.0,3.249895179706862e-17,1.015247487113638e-18,0.0,3.0534501644494766e-17,0.0,0.0,2.31607595247599e-17,3.170727787339346e-17,0.0,0.0,1.2238848398872112e-16,0.0,2.0480527470510752e-17,2.4207704883988744e-17,0.0,6.663702642708308e-18,0.0,1.622169074360837e-17,0.0,1.2661572703842143e-17,0.0,0.0,0.0,1.213776144247318e-17,0.0,4.792189651460483e-17,0.0,0.0,0.0,0.0,0.0,4.409398613963525e-18,2.6005147625072936e-18,0.0,1.5048828355608954e-17,8.400836301346337e-18,0.0,2.6682843963747325e-17,4.4329509964433885e-18,9.15820471583391e-18,0.0,0.0,1.832912316086103e-17,1.8630920281498803e-18,6.320853075518543e-18,1.448824090127947e-17,0.0,0.0,3.012766490625131e-18,0.0,0.0,1.89828866597187e-17,0.0,0.0,0.0,0.0,8.953455067497045e-18,3.3778185728275005e-17,0.0,1.441830534429635e-17,5.640015725325111e-17,3.106361408570285e-17,0.0,2.9944958513400295e-17,2.984730338013952e-17,0.0,6.285621328485832e-18,0.0,0.0,0.0,2.803022797721278e-17,0.0,1.6585092846084648e-18,0.0,0.0,4.64341102729397e-18,0.0,8.055069127793753e-18,0.0,0.0,0.0,5.652409802464005e-18,0.0,0.0,3.0920657238748445e-17,0.0,0.0,0.0,0.0,0.0,1.3091409393674747e-18,0.0,0.0,0.0,4.0093328592448324e-17,0.0,0.0,0.0,0.0,1.4366204001966055e-17,1.41354517553479e-17,0.0,0.0,2.2555200904939413e-17,0.0,1.4773756658186393e-17,0.0,0.0,5.460920424798358e-18,0.0,2.43287124644956e-19,5.6576562268155896e-18,5.434672576265436e-19,0.0,1.827030503852099e-17,1.4525620164718513e-17,5.3557441775278386e-17,1.1211195538047837e-16,0.15005017013592067,1.3507208130010735e-16,0.0,4.2139918426260983e-19,6.268935341018564e-18,0.0,0.0,1.1212327795929694e-17,0.0,0.0,3.122695651966537e-17,0.0,3.795233178804356e-17,4.801614034131496e-17,0.0,4.229047838177337e-17,1.8169585207812015e-18,1.9251596469887053e-18,6.733435636548985e-18,3.2541897472702385e-17,0.0,0.0,8.233794630536668e-18,0.0,9.123735615234415e-18,0.0,1.9169778957562778e-17,1.5731061913913342e-17,0.0,7.759211302683047e-17,0.0,2.61111229173924e-17,2.779893022370148e-17,0.0,0.0,4.01839683896673e-18,6.406273232477767e-18,0.0,2.2946171848779725e-17,1.268886574401929e-17,3.0620769329478643e-18,4.035129675032289e-17,0.0,0.0,1.0474536574301678e-17,0.0,0.0,8.562831072388702e-18,0.0,0.0,0.0,3.965977996902793e-17,8.730619141751003e-18,5.284358286603963e-19,0.0,2.130579156098139e-17,6.132136880514328e-18,0.0,9.545754114401454e-18,1.6076777536899513e-17,0.0,0.0,7.550125946453947e-19,2.726645402047104e-17,0.0,4.914222763324436e-18,0.0,4.35430926339672e-17,1.089032274043731e-17,5.145330520975797e-18,0.0,6.772987989155357e-18,4.42992255772233e-17,0.0,1.3118989464990002e-17,6.60845579854825e-18,9.538134266417085e-18,0.0,8.207283083135763e-18,2.4554975329660344e-17,0.0,4.7290449772883706e-18,4.689531752589025e-18,4.602697633898611e-19,0.0,6.860343217656195e-18,0.0,1.0140109355428312e-17,0.030050950388458647,1.3261307384926944e-18,0.0,0.0,2.499679725661061e-17,0.0,0.0,0.0,1.0838045695813646e-17,0.0,0.0,0.0,0.0,0.0,2.0994739075703837e-17,1.0732137261715691e-17,0.0,0.0,5.724159803184756e-18,8.11738054009949e-18,4.394909937854425e-18,0.0,0.0,2.3832802539535485e-18,4.60931170076561e-17,1.98053117399688e-17,1.9179965464527904e-18,1.2791757621678257e-17,3.751103512789955e-18,0.0,1.5763288108135037e-17,0.0,1.7891782265045735e-17,0.0,7.749260736305305e-18,4.511060529735421e-18,1.534020928582439e-17,0.0,0.0,0.0,0.0,0.0,8.284751201241232e-18,0.4817217373520078,4.420680192422102e-17,2.4905172309259246e-17,0.0,2.1073643528714335e-18,0.0,0.0,0.0,8.186620240110589e-18,7.276645233353844e-18,2.4410322261315076e-18,1.4528008016813662e-17,1.0607479873329838e-17,7.506675298850215e-18,0.0,0.0,0.0,0.0,1.2437869341905501e-17,0.0,8.383153012949224e-17,2021-01-01
1.0098952846011366e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.965472990412958e-17,2.718385156174169e-17,0.0,0.0,2.5109487752823458e-17,0.0,2.084976528796705e-17,0.0,0.0,2.646407865191321e-16,4.501648653693533e-17,0.0,0.34486271182254447,1.900489530882243e-17,0.0,2.2584145798191214e-17,0.0,0.0,0.0,0.0,0.0,1.4747366791315933e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.512162973310441e-17,0.0,1.609767241573559e-16,0.0,0.0,0.0,1.8171031033476949e-16,0.0,0.0,7.626095089932523e-18,0.0,0.0,0.0,1.0012828830477442e-17,6.070833938581612e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.306922437208542e-17,8.584161108002805e-18,1.916972002882668e-17,0.0,0.0,9.33388706770331e-18,2.1691750790098437e-17,0.0,0.0,0.0,1.29089488285372e-17,0.0,8.593891070588092e-18,0.0,0.0,0.0,1.620234592408385e-17,1.0360496027588252e-16,0.0,0.0,0.0,1.0809834403681863e-17,0.0,1.3205296778683925e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.8347187219295216e-17,0.0,0.0,1.7877905551354708e-17,2.972611335267389e-17,1.4384134323044352e-17,7.342735005810326e-17,4.454529895032268e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.351403250824202e-17,0.0,1.1556555162742082e-16,2.876132807914994e-17,0.0,0.0,0.0,0.0,4.955372118790501e-17,6.089133889636685e-17,0.0,0.0,0.0,8.926859337251227e-18,0.0,0.0,0.06910040483424207,0.0,1.0458924431611861e-17,1.435569056383098e-17,1.9503809236225427e-18,0.0,0.06312322619298477,0.004183980214570977,5.129524089271871e-17,6.285756745643145e-17,0.0,8.46435641378932e-18,2.6667204618234094e-17,1.6369452872987055e-17,0.0,3.355300033716235e-17,7.816896435590065e-17,0.0,0.0,0.0,1.0868045189742568e-18,1.2287659180715975e-16,9.358380721723876e-18,7.886524598434491e-17,0.0,9.012452904472972e-17,1.5507188486916638e-17,0.0,0.0,0.0,7.288988728208094e-18,8.425801456871479e-18,0.0,0.0,0.0,0.0,0.0,5.101227516199456e-18,0.0,0.0,0.0,1.0227102345276502e-16,3.628065706898126e-17,2.10167925914083e-18,1.4103667424288738e-17,8.439952266615525e-17,0.0,0.0,0.0,6.906400360360375e-18,1.2213699147870282e-17,6.896347227596533e-18,0.0,1.3555871776408046e-17,9.859530928327167e-17,0.0,0.0,7.447607669442166e-18,0.0,0.0,1.0361816886922186e-17,6.732607587115087e-17,0.0,0.0,4.2351367572906063e-17,0.0,0.0,0.0,1.7252135198739128e-17,1.2259647991937712e-17,0.0,0.0,0.0,0.0,1.5569999012854925e-17,0.0,0.0,0.0,0.0,0.0,4.645144916085807e-19,1.530784075221627e-16,1.0085736270723726e-17,0.0,0.0,0.0,0.0,8.057550633248033e-18,7.411400301063403e-18,1.9928276746608373e-17,1.5790699485308612e-17,1.643912915318364e-17,0.0,7.771877512923881e-18,0.0,1.2141108375009901e-16,1.3241401045889348e-17,6.0971333031911876e-18,0.0,0.0,2.5488875355706147e-17,2.4923347370744162e-17,2.7215529586757987e-17,0.0,1.696998731746532e-17,0.0,2.8595202293491604e-17,1.5838616955386527e-17,0.0,4.988815721021181e-17,0.0,0.0,6.378975822629959e-17,1.7719592454757414e-16,2.936945035391264e-17,1.2398253863189308e-16,1.5064373284227041e-16,0.0,4.976712313574379e-19,0.0,3.969258217013617e-17,2.783325037106528e-17,0.0,1.794524346006701e-15,1.7086309625682033e-17,5.1968659387056196e-17,0.0,0.0,3.721563729781705e-17,0.0,0.0,3.2975478794595603e-17,3.918009562708685e-17,0.38316246029120204,9.555104752572201e-18,3.000582420597556e-17,0.0,0.0,0.0,0.0,2.972485897821557e-17,2.127319439762409e-17,1.2168463342853216e-17,0.0,0.0,0.0,8.295417291347474e-18,0.0,0.0,4.407589453050024e-18,0.0,2.536328855193114e-17,8.199000432635264e-18,0.13556721664446048,0.0,0.0,0.0,0.0,0.0,0.0,4.163810377694652e-18,0.0,5.3583295377433414e-17,0.0,5.988851051012999e-17,0.0,1.3546315912345146e-17,0.0,0.0,1.7656070776708927e-17,0.0,0.0,5.153521160996376e-18,5.177518042307466e-17,3.483096182599635e-18,1.942118430855716e-16,0.0,0.0,0.0,2.795338638635551e-17,1.306660384721916e-17,0.0,2.9377965872273756e-17,0.0,2.0399481353417172e-17,5.524837112232047e-18,2.7882767639436198e-18,0.0,1.9861861668251576e-17,0.0,0.0,3.012389822234122e-17,5.699786981378064e-17,1.2222966755522751e-17,5.374386523111371e-17,4.399189859575754e-17,0.0,1.4444610597007143e-17,4.970423798296919e-19,3.6531378828418435e-17,7.822757233599876e-17,0.0,0.0,7.605607223990417e-18,2.167815012158282e-17,2.593567902124929e-18,0.0,1.8258523319456802e-17,3.281916906564108e-17,8.815710427041848e-18,0.0,2.0297286605636455e-19,2.1068198999008142e-17,0.0,0.0,1.9839551299384788e-17,1.9200234882671877e-18,0.0,1.907599101039046e-17,0.0,3.7671717591650904e-17,0.0,0.0,5.733843259589075e-17,0.0,0.0,0.0,4.116626790204207e-18,0.0,0.0,0.0,0.0,1.4937313758232378e-16,0.0,0.0,3.152540610761749e-17,0.0,0.0,0.0,4.0292441304296725e-17,1.077682577663693e-17,7.979425490407733e-18,0.0,2.6515872781499247e-18,1.1440721321934347e-17,0.0,2.2625213124042085e-17,4.268266536716683e-18,0.0,3.0988400417591067e-18,6.788921187038748e-18,9.424818243297033e-17,0.0,9.67176693631853e-17,2.5468608794563944e-17,5.675649256464149e-17,5.1237612591021335e-17,2.795260462904219e-17,6.006840879442537e-17,6.403811209449012e-17,1.0531506869520778e-16,0.0,3.589583103351399e-17,1.6137778799075993e-17,0.0,0.0,2.9032085014431576e-18,0.0,1.010710822807276e-17,0.0,2.6504636753137435e-18,2.3961150269829134e-17,8.911223137802104e-18,0.0,0.0,3.576287742192426e-17,9.599360628796676e-18,2.78289661219418e-17,4.579652224061355e-17,2.130324534708562e-17,1.3148193029169258e-17,4.189230366749015e-17,1.7499294827324645e-17,1.5218732742508283e-17,0.0,0.0,2.6699259996116646e-17,0.0,4.354317239884982e-17,2021-02-01
0.0,7.664484387655685e-17,7.06422156173388e-17,1.4462799893980907e-16,5.067087826427869e-17,0.0,3.4816289080802677e-17,7.085447089156956e-17,9.681818850167322e-17,1.7528719522692996e-16,4.7930171750199706e-17,2.7116319781170213e-17,6.892127629316735e-17,7.365285666670731e-17,3.659394551513344e-17,0.0,2.6613925239813935e-17,0.0,0.0,0.5043029127499422,0.0,3.896126924733645e-17,0.0,2.1292800923341865e-16,5.510639107251106e-17,0.0,1.0160985718859776e-17,0.0,4.563533885823315e-18,0.0,0.0,0.0,1.5520495345307617e-17,0.0,0.0,9.924047596522366e-16,0.0,0.0,3.3263439864585586e-17,7.433152412840302e-16,0.0,0.0,3.135130485588854e-17,1.400748170981922e-17,7.259340600173516e-17,0.0,7.15891262977076e-17,1.4563262142420167e-16,6.966962921286307e-18,1.2104619199369473e-16,0.0,1.388130390742045e-17,0.0,1.6762575769232123e-16,1.0699039158209527e-17,0.0,4.271614414080146e-17,9.755907854250014e-19,4.4760460779270917e-17,0.0,0.0,0.0,2.6829352311238875e-17,4.6942665178755856e-17,0.0,6.547183989822379e-18,4.037524744448005e-17,8.329182081841818e-17,0.0,4.749084980632023e-17,1.3286034747373252e-16,5.578174073711035e-17,0.0,7.438096244866864e-17,9.76115335143523e-17,1.9387447161673263e-16,0.0,7.946418655044923e-18,4.536290478123649e-17,0.0,0.0,0.0,0.0,1.317023413037326e-17,4.5357824945954716e-17,1.8288025019407638e-17,1.8396612297886047e-17,1.039896485290406e-17,0.0,0.0,3.5755921406023623e-17,5.533536099939411e-17,0.0,4.251194790777e-18,2.5128431350777585e-17,5.319417549227597e-17,2.844199472644287e-17,0.0,0.0,0.0,8.801850743021001e-18,6.801066663180659e-18,0.0,0.0,0.0,3.587554986422374e-17,2.4978587634418665e-17,0.0,0.0,7.942775783883348e-17,5.39180866283608e-17,5.679644518958268e-18,0.0,0.0,0.0,5.4834737797247885e-17,0.0,1.1469639047374481e-17,0.0,2.1304505493591857e-17,0.0,0.0,5.5018716847030667e-17,0.0,0.0,1.2905860945008958e-15,3.9727088881951445e-17,0.0,5.380107425511811e-17,0.0,6.485689232189322e-17,1.3616713329091e-17,3.939806037144458e-17,0.0,3.4337672061939075e-17,0.0,2.2032113381466e-17,6.742006969845837e-17,7.681860710188173e-17,6.669337387338708e-17,4.261456689619767e-18,0.0,0.0,2.1156555315034893e-16,8.14365856497545e-18,1.6262062433410097e-17,1.6204425568267794e-17,0.0,7.392669999750555e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.584833294566423e-17,0.0,1.725164335143499e-16,0.0,0.0,0.0,2.1171778176644413e-17,3.50850999191362e-17,0.0,1.1216462069332244e-17,8.39315563753056e-18,1.2542630395563452e-16,0.0,4.8525345918742536e-17,5.47303333071646e-17,0.0,0.0,2.0830579002215205e-17,6.094924893802896e-17,0.0,1.3936915758179865e-16,0.0,0.0,2.5472413211509557e-17,8.058016475742916e-17,0.0,2.2238315457448138e-17,0.0,0.0,1.0439728199396846e-16,0.0,7.64856307649087e-17,1.900579053751161e-17,1.4006101014785656e-17,0.0,0.0,4.1290971117101613e-17,0.0,0.0,0.0,2.4606077056586275e-17,6.103169678336536e-17,0.0,1.3763480958180577e-17,0.0,0.0,0.0,1.3835004568631388e-16,3.1907458490740665e-17,0.0,0.0,3.021047435057494e-17,0.0,0.0,0.0,7.940680538712786e-18,0.0,1.4877019506325904e-17,0.0,0.0,0.0,0.0,4.451129764901789e-17,0.0,0.0,0.0,7.371904648137103e-18,6.995395108477767e-17,0.0,0.0,0.0,0.0,0.0,8.866212010225667e-17,0.0,0.0,0.0,0.0,3.699713674715638e-18,3.837261347832718e-17,1.9299292423334348e-17,0.0,0.0,6.108980709803833e-18,7.425725016244264e-18,0.0,0.0,3.875586201906649e-16,5.970620075598829e-17,0.0,1.8475316934015426e-17,6.959641940378015e-21,0.0,1.1652162275721576e-17,0.0,4.3042820014404085e-17,0.0,2.166954478086976e-17,2.122143092555304e-18,0.45659111720895934,0.0,0.0,0.0,6.048065396621231e-17,2.410380507469636e-16,4.1673245248121446e-17,0.0,0.0,0.0,0.0,8.101560267795175e-17,5.669670883544568e-17,0.0,1.6244421769357817e-18,0.0,0.0,0.0,0.0,0.0,0.0,7.997573059711431e-17,0.0,2.312263764778084e-17,0.0,0.0,0.0,5.372746176367791e-18,2.7179942337041296e-18,0.0,0.0,0.0,0.0,8.65005133776398e-18,3.5539055771042415e-17,2.0333884233971452e-17,0.0,0.0,4.542645192254773e-17,3.260956892628219e-17,5.426693320177154e-17,2.481013574470463e-17,4.64474755056667e-17,8.638456345491859e-17,6.321923990440806e-18,0.0,0.0,0.0,5.0454625675300167e-17,0.0,2.485824242464349e-17,0.0,0.0,4.946182684890756e-17,0.0,0.0,0.0,2.092532309071648e-17,0.0,0.0,2.805144785103623e-18,0.0,0.0,0.0,2.8043704958366677e-17,0.0,1.2461369761140991e-17,0.0,1.3427512645931978e-18,0.0,0.0,0.0,0.0,3.899904832500791e-17,0.0,3.169358007357674e-17,5.754486145811924e-19,2.1118485154699944e-17,0.0,0.0,0.0,1.7853657246890876e-17,1.0254003528477504e-17,0.0,2.058274370406071e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.901964073777362e-17,1.9541024366867454e-18,0.0,0.0,0.0,1.924992449261348e-17,0.0,0.0,7.239846998717325e-18,0.0,0.0,2.0568254229310593e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9824931710652216e-17,8.363983384768691e-17,0.0,0.0,0.039105970041099225,4.4062002388537385e-17,0.0,6.00002529659763e-17,3.205152758747598e-17,0.0,1.0139369961586048e-17,5.430816606573831e-17,0.0,0.0,1.4426448108454283e-17,3.3222923417732105e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.811929609269925e-17,0.0,0.0,0.0,1.751588891849115e-17,0.0,1.7364540525857387e-16,0.0,5.602990530492096e-18,0.0,6.648631337219528e-17,0.0,0.0,0.0,2.5155159482963616e-17,0.0,0.0,0.0,4.856050688410273e-17,2021-03-01
