tic,w_mv,w_eq,train_end,test_start,test_end
A,7.360122714523021e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AAPL,6.664096502473414e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ABBV,2.4849513543457394e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ABNB,2.4482807739989984e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ABT,5.725389994852262e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ACGL,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ACN,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ADI,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ADM,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ADSK,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AEE,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AEP,4.686393070293253e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AES,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AFL,5.464875802468132e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AIG,1.8855038655690008e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AIZ,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AJG,1.4684106367536566e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AKAM,3.301000448243849e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ALB,3.802513331351585e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ALGN,1.3838737557853491e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ALL,3.014671868908668e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ALLE,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AMAT,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AMCR,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AMD,2.8872046174877905e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AME,1.972132178330012e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AMGN,3.4319455726172523e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AMP,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AMZN,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ANET,5.024608519873482e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ANSS,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AON,9.429990665923283e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AOS,4.2510152453001557e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
APA,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
APD,3.300023012431436e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
APH,2.7483901368723155e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
APO,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
APTV,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
ATO,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AVGO,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AVY,2.218433650247796e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AWK,9.842528147265328e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AXON,9.138318785879062e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AXP,1.963939462708489e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
AZO,2.671744814821888e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BA,1.9092317748966018e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BAC,9.214184400982891e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BALL,4.0691273957111443e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BAX,5.691538085297974e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BBY,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BDX,7.124553376674303e-17,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BEN,0.0,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BF.B,1.267751784394368e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BG,1.1485885516099524e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
BIIB,2.6666128138828637e-16,0.0022522522522522522,2024-10-31,2024-11-01,2024-11-30
