tic,w_mv,w_eq,train_end,test_start,test_end
A,3.29356794029282e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AAPL,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ABBV,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ABNB,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ABT,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ACGL,1.5972422597768367e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ACN,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ADI,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ADM,1.1617414470631787e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ADSK,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AEE,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AEP,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AES,2.0561883124781855e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AFL,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AIG,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AIZ,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AJG,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AKAM,5.338686023476214e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ALB,1.0517016296485031e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ALGN,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ALL,7.600248797830957e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ALLE,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AMAT,4.2884843953918344e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AMCR,2.583919229714411e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AMD,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AME,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AMGN,3.923897998295373e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AMP,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AMZN,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ANET,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ANSS,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AON,3.8020139609673e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AOS,7.593447057408045e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
APA,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
APD,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
APH,9.347214924734853e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
APO,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
APTV,6.004483993436302e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
ATO,1.4024254509226829e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AVGO,4.913866641973554e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AVY,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AWK,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AXON,1.2089537657632675e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AXP,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
AZO,1.549980256915835e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BA,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BAC,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BALL,1.0058012534139644e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BAX,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BBY,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BDX,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BEN,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BF.B,1.0778079671126478e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BG,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BIIB,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BKNG,8.070464752133618e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BKR,1.3163941961256365e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BLDR,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BLK,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BMY,1.5974326651248347e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BR,7.646137174316969e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BRK.B,1.0361105044386666e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BRO,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BSX,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
BWA,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CAG,3.1951035830990236e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CARR,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CAT,3.094319569194001e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CB,1.3227703134611735e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CBRE,1.1127185913155207e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CDNS,8.058975990016424e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CDW,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CE,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CEG,1.1158766613220143e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CF,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CFG,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CHD,3.562637932379665e-17,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CHRW,7.689442303729624e-17,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CHTR,8.029720410213001e-17,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CI,2.014891041441237e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CINF,1.1554971877232552e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CL,1.834230830784847e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CLX,2.6483208992064606e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CME,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CMG,5.548258811162093e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CMI,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CMS,1.811443465032886e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CNC,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CNP,6.626129935604007e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
COF,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
COO,6.51428202066903e-17,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
COP,1.3921291319237093e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
COR,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CPAY,7.679886723556301e-16,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CPB,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CPRT,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CRL,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CRM,1.1634170747538403e-15,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
CRWD,0.0,0.0022624434389140274,2024-02-29,2024-03-01,2024-03-31
