tic,w_mv,w_eq,train_end,test_start,test_end
A,7.389781857603824e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AAPL,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ABBV,7.332986238177214e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ABNB,6.108241156703515e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ABT,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ACGL,1.076699603825244e-15,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ACN,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ADI,1.880801589466137e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ADM,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ADSK,2.3295857436570983e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AEE,1.2290187075980505e-15,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AEP,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AES,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AFL,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AIG,4.8148811231739326e-17,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AIZ,7.793293846773371e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AJG,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AKAM,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ALB,3.9820338039974005e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ALGN,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ALL,5.20785056752286e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ALLE,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AMAT,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AMCR,4.934952470798957e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AMD,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AME,4.818802067370535e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AMGN,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AMP,1.2621810967049045e-15,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AMZN,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ANET,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
ANSS,3.1999752386733746e-17,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AON,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
AOS,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
APA,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
APD,2.826631435312161e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
APH,2.1129535122201893e-16,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
APO,0.0,0.002257336343115124,2024-05-31,2024-06-01,2024-06-30
