tic,w_mv,w_eq,train_end,test_start,test_end
A,1.849343994874591e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AAPL,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ABBV,1.0276286591089875e-15,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ABNB,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ABT,1.3493644157770098e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ACGL,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ACN,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ADI,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ADM,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ADSK,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AEE,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AEP,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AES,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AFL,7.054759573101648e-17,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AIG,1.0708159803437491e-15,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AIZ,3.792150812731414e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AJG,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AKAM,2.3432682604829293e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ALB,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ALGN,2.0820796015289281e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ALL,3.740260737738098e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ALLE,1.0008551266441796e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AMAT,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AMCR,2.528635863516965e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AMD,4.810764867515971e-17,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AME,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AMGN,4.479131344803433e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AMP,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AMZN,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ANET,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
ANSS,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AON,1.8560902608143448e-16,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
AOS,0.0,0.0022624434389140274,2024-04-30,2024-05-01,2024-05-31
