tic,weight
A,0.0022522522522522522
AAPL,0.0022522522522522522
ABBV,0.0022522522522522522
ABNB,0.0022522522522522522
ABT,0.0022522522522522522
ACGL,0.0022522522522522522
ACN,0.0022522522522522522
ADI,0.0022522522522522522
ADM,0.0022522522522522522
ADSK,0.0022522522522522522
AEE,0.0022522522522522522
AEP,0.0022522522522522522
AES,0.0022522522522522522
AFL,0.0022522522522522522
AIG,0.0022522522522522522
AIZ,0.0022522522522522522
AJG,0.0022522522522522522
AKAM,0.0022522522522522522
ALB,0.0022522522522522522
ALGN,0.0022522522522522522
ALL,0.0022522522522522522
ALLE,0.0022522522522522522
AMAT,0.0022522522522522522
AMCR,0.0022522522522522522
AMD,0.0022522522522522522
AME,0.0022522522522522522
AMGN,0.0022522522522522522
AMP,0.0022522522522522522
AMZN,0.0022522522522522522
ANET,0.0022522522522522522
ANSS,0.0022522522522522522
AON,0.0022522522522522522
AOS,0.0022522522522522522
APA,0.0022522522522522522
APD,0.0022522522522522522
APH,0.0022522522522522522
APO,0.0022522522522522522
APTV,0.0022522522522522522
ATO,0.0022522522522522522
AVGO,0.0022522522522522522
AVY,0.0022522522522522522
AWK,0.0022522522522522522
AXON,0.0022522522522522522
AXP,0.0022522522522522522
AZO,0.0022522522522522522
BA,0.0022522522522522522
BAC,0.0022522522522522522
BALL,0.0022522522522522522
BAX,0.0022522522522522522
BBY,0.0022522522522522522
BDX,0.0022522522522522522
BEN,0.0022522522522522522
BF.B,0.0022522522522522522
BG,0.0022522522522522522
BIIB,0.0022522522522522522
BKNG,0.0022522522522522522
BKR,0.0022522522522522522
BLDR,0.0022522522522522522
BLK,0.0022522522522522522
BMY,0.0022522522522522522
BR,0.0022522522522522522
BRK.B,0.0022522522522522522
BRO,0.0022522522522522522
BSX,0.0022522522522522522
BWA,0.0022522522522522522
CAG,0.0022522522522522522
CARR,0.0022522522522522522
CAT,0.0022522522522522522
CB,0.0022522522522522522
CBRE,0.0022522522522522522
CDNS,0.0022522522522522522
CDW,0.0022522522522522522
CE,0.0022522522522522522
CEG,0.0022522522522522522
CF,0.0022522522522522522
CFG,0.0022522522522522522
CHD,0.0022522522522522522
CHRW,0.0022522522522522522
CHTR,0.0022522522522522522
CI,0.0022522522522522522
CINF,0.0022522522522522522
CL,0.0022522522522522522
CLX,0.0022522522522522522
CME,0.0022522522522522522
CMG,0.0022522522522522522
CMI,0.0022522522522522522
CMS,0.0022522522522522522
CNC,0.0022522522522522522
CNP,0.0022522522522522522
COF,0.0022522522522522522
COO,0.0022522522522522522
COP,0.0022522522522522522
COR,0.0022522522522522522
CPAY,0.0022522522522522522
CPB,0.0022522522522522522
CPRT,0.0022522522522522522
CRL,0.0022522522522522522
CRM,0.0022522522522522522
CRWD,0.0022522522522522522
CSCO,0.0022522522522522522
CSGP,0.0022522522522522522
CSX,0.0022522522522522522
CTAS,0.0022522522522522522
CTRA,0.0022522522522522522
CTSH,0.0022522522522522522
CTVA,0.0022522522522522522
CVS,0.0022522522522522522
CVX,0.0022522522522522522
CZR,0.0022522522522522522
D,0.0022522522522522522
DAL,0.0022522522522522522
DAY,0.0022522522522522522
DD,0.0022522522522522522
DE,0.0022522522522522522
DECK,0.0022522522522522522
DFS,0.0022522522522522522
DG,0.0022522522522522522
DGX,0.0022522522522522522
DHI,0.0022522522522522522
DHR,0.0022522522522522522
DIS,0.0022522522522522522
DLTR,0.0022522522522522522
DOV,0.0022522522522522522
DOW,0.0022522522522522522
DPZ,0.0022522522522522522
DRI,0.0022522522522522522
DTE,0.0022522522522522522
DUK,0.0022522522522522522
DVA,0.0022522522522522522
DVN,0.0022522522522522522
DXCM,0.0022522522522522522
EA,0.0022522522522522522
ECL,0.0022522522522522522
EFX,0.0022522522522522522
EG,0.0022522522522522522
EIX,0.0022522522522522522
EL,0.0022522522522522522
ELV,0.0022522522522522522
EMN,0.0022522522522522522
EMR,0.0022522522522522522
ENPH,0.0022522522522522522
EOG,0.0022522522522522522
EPAM,0.0022522522522522522
EQT,0.0022522522522522522
ERIE,0.0022522522522522522
ES,0.0022522522522522522
ETN,0.0022522522522522522
ETR,0.0022522522522522522
EVRG,0.0022522522522522522
